index,inter_packet_latency_us
1673,1000.04
1674,1000.002
1675,1000.229
1676,999.907
1677,1000
1678,999.836
1679,1000.034
1680,1000.154
1681,999.851
1682,1000.011
1683,1000.31
1684,999.669
1685,1000.079
1686,999.954
1687,1000.084
1688,999.912
1689,999.964
1690,1000.181
1691,1000.176
1692,999.647
1693,1000.156
1694,999.834
1695,1000.11
1696,999.891
1697,999.888
1698,1000.156
1699,1000.31
1700,999.698
1701,1000.363
1702,999.503
1703,1000.056
1704,1000.006
1705,1000.175
1706,999.826
1707,1000.289
1708,999.657
1709,1000.21
1710,1000.066
1711,999.794
1712,1000.057
1713,1000.085
1714,999.766
1715,1000.836
1716,999.375
1717,999.883
1718,1000.436
1719,999.624
1720,1000.03
1721,999.885
1722,1000.18
1723,1000.235
1724,999.561
1725,1000.061
1726,1000.01
1727,999.983
1728,1000.072
1729,999.915
1730,999.999
1731,1000.327
1732,999.947
1733,999.76
1734,1000.108
1735,1000.183
1736,999.769
1737,999.839
1738,1000.044
1739,1000.647
1740,999.805
1741,999.592
1742,1000.274
1743,999.762
1744,1000.388
1745,999.637
1746,999.948
1747,1000.244
1748,1000.06
1749,999.69
1750,1000.221
1751,999.824
1752,1000.008
1753,1000.017
1754,999.803
1755,1000.509
1756,999.616
1757,1000.004
1758,1000.006
1759,1000.075
1760,1000.027
1761,999.928
1762,999.983
1763,1000.436
1764,999.558
1765,1000.093
1766,999.935
1767,1000.042
1768,1000.186
1769,999.682
1770,1000.167
1771,1000.316
1772,999.919
1773,999.774
1774,999.843
1775,1000.046
1776,1000.074
1777,1000.028
1778,999.956
1779,1000.206
1780,999.815
1781,1000.047
1782,999.823
1783,999.969
1784,1000.094
1785,1000.004
1786,1000.006
1787,1000.123
1788,999.943
1789,999.912
1790,1000.155
1791,999.98
1792,999.909
1793,999.935
1794,999.983
1795,1000.388
1796,999.618
1797,1000.028
1798,1000.016
1799,1000.065
1800,1000.015
1801,999.865
1802,1001.657
1803,998.722
1804,1000.116
1805,999.561
1806,1000.026
1807,1000.187
1808,999.823
1809,999.929
1810,1000.077
1811,1000.234
1812,999.735
1813,1000.186
1814,999.906
1815,1000.147
1816,999.914
1817,999.97
1818,1000.088
1819,1000.162
1820,999.676
1821,1000.521
1822,999.501
1823,999.845
1824,1000.014
1825,1000.199
1826,999.838
1827,1000.513
1828,999.37
1829,1000.254
1830,999.973
1831,999.923
1832,1000.07
1833,999.818
1834,1000.261
1835,1000.185
1836,999.739
1837,1000.029
1838,1000.025
1839,1000.194
1840,999.931
1841,999.742
1842,999.993
1843,1001.292
1844,998.739
1845,1000.167
1846,999.642
1847,1000.133
1848,1000.16
1849,999.865
1850,1000.019
1851,1000.359
1852,999.577
1853,1000.041
1854,999.878
1855,1000.265
1856,999.829
1857,1000.088
1858,999.916
1859,1000.433
1860,999.619
1861,1000.036
1862,999.954
1863,1000.092
1864,999.929
1865,999.926
1866,1000.052
1867,1000.331
1868,999.717
1869,999.971
1870,999.965
1871,999.978
1872,1000.123
1873,999.96
1874,999.805
1875,1000.561
1876,999.687
1877,1000.068
1878,999.869
1879,1000.086
1880,1000.025
1881,999.932
1882,999.796
1883,1000.436
1884,999.845
1885,1000.018
1886,999.761
1887,1000.464
1888,999.679
1889,999.888
1890,999.958
1891,1000.402
1892,999.734
1893,1000.204
1894,999.864
1895,1000.036
1896,999.967
1897,999.912
1898,1000.06
1899,1000.303
1900,999.694
1901,1000.001
1902,999.749
1903,1000.267
1904,999.914
1905,1000.417
1906,1000.247
1907,999.669
1908,999.644
1909,1000.054
1910,1000.013
1911,999.922
1912,1000.016
1913,1000.049
1914,999.926
1915,1000.376
1916,999.629
1917,999.93
1918,1000.134
1919,999.928
1920,1000.097
1921,999.985
1922,999.788
1923,1000.517
1924,999.587
1925,1000.003
1926,1000.02
1927,1000.071
1928,999.934
1929,1000.062
1930,999.951
1931,1000.3
1932,999.713
1933,999.984
1934,999.979
1935,1000.057
1936,1000.014
1937,999.961
1938,1000.061
1939,1000.824
1940,999.19
1941,999.835
1942,1000.14
1943,999.941
1944,1000.015
1945,1000.033
1946,999.874
1947,1000.406
1948,999.827
1949,999.898
1950,1000.09
1951,999.971
1952,999.848
1953,999.974
1954,999.892
